mbid,day,mentions
34fdbc74-5a4e-4cc9-aaac-250e7c832fcf,2015-04-12,2.0
34fdbc74-5a4e-4cc9-aaac-250e7c832fcf,2015-04-09,1.0
34fdbc74-5a4e-4cc9-aaac-250e7c832fcf,2015-04-10,2.0
34fdbc74-5a4e-4cc9-aaac-250e7c832fcf,2015-04-17,1.0
34fdbc74-5a4e-4cc9-aaac-250e7c832fcf,2015-04-15,2.0
34fdbc74-5a4e-4cc9-aaac-250e7c832fcf,2015-04-16,2.0
34fdbc74-5a4e-4cc9-aaac-250e7c832fcf,2015-04-14,2.0
4a9d4d1f-b3ae-481d-8ad7-ab4c8bf17965,2015-04-07,1.0
4a9d4d1f-b3ae-481d-8ad7-ab4c8bf17965,2015-04-08,1.0
4a9d4d1f-b3ae-481d-8ad7-ab4c8bf17965,2015-04-13,1.0
4a9d4d1f-b3ae-481d-8ad7-ab4c8bf17965,2015-04-14,1.0
0adbc8f1-4a70-4a66-9f2d-8f778090c0cb,2015-04-07,2.0
0adbc8f1-4a70-4a66-9f2d-8f778090c0cb,2015-04-08,8.0
0adbc8f1-4a70-4a66-9f2d-8f778090c0cb,2015-04-09,7.0
0adbc8f1-4a70-4a66-9f2d-8f778090c0cb,2015-04-12,7.0
0adbc8f1-4a70-4a66-9f2d-8f778090c0cb,2015-04-10,7.0
0adbc8f1-4a70-4a66-9f2d-8f778090c0cb,2015-04-14,7.0
0adbc8f1-4a70-4a66-9f2d-8f778090c0cb,2015-04-13,8.0
0adbc8f1-4a70-4a66-9f2d-8f778090c0cb,2015-04-15,8.0
0adbc8f1-4a70-4a66-9f2d-8f778090c0cb,2015-04-17,5.0
0adbc8f1-4a70-4a66-9f2d-8f778090c0cb,2015-04-16,9.0
9370030e-bcd8-4078-b92f-81218efe5da5,2015-04-16,1.0
9370030e-bcd8-4078-b92f-81218efe5da5,2015-04-11,1.0
9370030e-bcd8-4078-b92f-81218efe5da5,2015-04-14,1.0
9370030e-bcd8-4078-b92f-81218efe5da5,2015-04-15,1.0
9370030e-bcd8-4078-b92f-81218efe5da5,2015-04-08,1.0
088670b7-29be-45e9-a9ff-b7c962a2d6b9,2015-04-07,1.0
088670b7-29be-45e9-a9ff-b7c962a2d6b9,2015-04-15,2.0
088670b7-29be-45e9-a9ff-b7c962a2d6b9,2015-04-16,3.0
088670b7-29be-45e9-a9ff-b7c962a2d6b9,2015-04-11,1.0
088670b7-29be-45e9-a9ff-b7c962a2d6b9,2015-04-08,1.0
088670b7-29be-45e9-a9ff-b7c962a2d6b9,2015-04-12,1.0
088670b7-29be-45e9-a9ff-b7c962a2d6b9,2015-04-14,4.0
088670b7-29be-45e9-a9ff-b7c962a2d6b9,2015-04-10,1.0
22a7ce09-29b4-4a41-a756-5acfcdb3e1ae,2015-04-08,3.0
22a7ce09-29b4-4a41-a756-5acfcdb3e1ae,2015-04-09,1.0
22a7ce09-29b4-4a41-a756-5acfcdb3e1ae,2015-04-07,1.0
22a7ce09-29b4-4a41-a756-5acfcdb3e1ae,2015-04-10,2.0
22a7ce09-29b4-4a41-a756-5acfcdb3e1ae,2015-04-13,5.0
22a7ce09-29b4-4a41-a756-5acfcdb3e1ae,2015-04-12,7.0
22a7ce09-29b4-4a41-a756-5acfcdb3e1ae,2015-04-11,2.0
22a7ce09-29b4-4a41-a756-5acfcdb3e1ae,2015-04-14,6.0
22a7ce09-29b4-4a41-a756-5acfcdb3e1ae,2015-04-15,2.0
22a7ce09-29b4-4a41-a756-5acfcdb3e1ae,2015-04-17,1.0
22a7ce09-29b4-4a41-a756-5acfcdb3e1ae,2015-04-16,1.0
96535a95-fc0d-4eaf-a1ac-51a39fede629,2015-04-14,1.0
e192c2fe-5e2f-40d9-8873-a3088d44a5d1,2015-04-07,2.0
e192c2fe-5e2f-40d9-8873-a3088d44a5d1,2015-04-08,5.0
e192c2fe-5e2f-40d9-8873-a3088d44a5d1,2015-04-12,5.0
e192c2fe-5e2f-40d9-8873-a3088d44a5d1,2015-04-10,4.0
e192c2fe-5e2f-40d9-8873-a3088d44a5d1,2015-04-09,6.0
e192c2fe-5e2f-40d9-8873-a3088d44a5d1,2015-04-11,5.0
e192c2fe-5e2f-40d9-8873-a3088d44a5d1,2015-04-13,8.0
e192c2fe-5e2f-40d9-8873-a3088d44a5d1,2015-04-14,11.0
e192c2fe-5e2f-40d9-8873-a3088d44a5d1,2015-04-17,11.0
e192c2fe-5e2f-40d9-8873-a3088d44a5d1,2015-04-15,13.0
e192c2fe-5e2f-40d9-8873-a3088d44a5d1,2015-04-16,17.0
34aa335d-895d-4055-9b5c-3ff7b06676ce,2015-04-07,9.0
34aa335d-895d-4055-9b5c-3ff7b06676ce,2015-04-08,19.0
34aa335d-895d-4055-9b5c-3ff7b06676ce,2015-04-09,20.0
34aa335d-895d-4055-9b5c-3ff7b06676ce,2015-04-10,26.0
34aa335d-895d-4055-9b5c-3ff7b06676ce,2015-04-11,16.0
34aa335d-895d-4055-9b5c-3ff7b06676ce,2015-04-12,29.0
34aa335d-895d-4055-9b5c-3ff7b06676ce,2015-04-13,21.0
34aa335d-895d-4055-9b5c-3ff7b06676ce,2015-04-14,15.0
34aa335d-895d-4055-9b5c-3ff7b06676ce,2015-04-16,19.0
34aa335d-895d-4055-9b5c-3ff7b06676ce,2015-04-15,22.0
34aa335d-895d-4055-9b5c-3ff7b06676ce,2015-04-17,8.0
22071ae8-f40f-4eab-be51-9207fb4114a9,2015-04-09,1.0
22071ae8-f40f-4eab-be51-9207fb4114a9,2015-04-10,2.0
22071ae8-f40f-4eab-be51-9207fb4114a9,2015-04-14,3.0
22071ae8-f40f-4eab-be51-9207fb4114a9,2015-04-16,6.0
22071ae8-f40f-4eab-be51-9207fb4114a9,2015-04-17,6.0
22071ae8-f40f-4eab-be51-9207fb4114a9,2015-04-13,1.0
22071ae8-f40f-4eab-be51-9207fb4114a9,2015-04-08,1.0
22071ae8-f40f-4eab-be51-9207fb4114a9,2015-04-12,2.0
22071ae8-f40f-4eab-be51-9207fb4114a9,2015-04-15,2.0
22071ae8-f40f-4eab-be51-9207fb4114a9,2015-04-11,2.0
75bf2d1c-eb8d-4da4-b77f-30cf0124f557,2015-04-12,3.0
75bf2d1c-eb8d-4da4-b77f-30cf0124f557,2015-04-13,2.0
75bf2d1c-eb8d-4da4-b77f-30cf0124f557,2015-04-14,2.0
75bf2d1c-eb8d-4da4-b77f-30cf0124f557,2015-04-08,5.0
75bf2d1c-eb8d-4da4-b77f-30cf0124f557,2015-04-10,5.0
75bf2d1c-eb8d-4da4-b77f-30cf0124f557,2015-04-07,2.0
75bf2d1c-eb8d-4da4-b77f-30cf0124f557,2015-04-09,2.0
75bf2d1c-eb8d-4da4-b77f-30cf0124f557,2015-04-17,5.0
75bf2d1c-eb8d-4da4-b77f-30cf0124f557,2015-04-16,14.0
75bf2d1c-eb8d-4da4-b77f-30cf0124f557,2015-04-15,2.0
ec118f3a-1386-4040-9ce6-6c01466f463a,2015-04-16,1.0
ec118f3a-1386-4040-9ce6-6c01466f463a,2015-04-07,1.0
ec118f3a-1386-4040-9ce6-6c01466f463a,2015-04-14,1.0
ec118f3a-1386-4040-9ce6-6c01466f463a,2015-04-13,1.0
ec118f3a-1386-4040-9ce6-6c01466f463a,2015-04-09,1.0
ec118f3a-1386-4040-9ce6-6c01466f463a,2015-04-11,1.0
ec118f3a-1386-4040-9ce6-6c01466f463a,2015-04-10,1.0
69506c5c-54c6-45d4-9445-7eb1fae353f7,2015-04-07,1.0
69506c5c-54c6-45d4-9445-7eb1fae353f7,2015-04-10,4.0
69506c5c-54c6-45d4-9445-7eb1fae353f7,2015-04-12,2.0
69506c5c-54c6-45d4-9445-7eb1fae353f7,2015-04-13,1.0
69506c5c-54c6-45d4-9445-7eb1fae353f7,2015-04-08,3.0
69506c5c-54c6-45d4-9445-7eb1fae353f7,2015-04-14,3.0
69506c5c-54c6-45d4-9445-7eb1fae353f7,2015-04-15,6.0
69506c5c-54c6-45d4-9445-7eb1fae353f7,2015-04-16,3.0
69506c5c-54c6-45d4-9445-7eb1fae353f7,2015-04-09,3.0
69506c5c-54c6-45d4-9445-7eb1fae353f7,2015-04-17,3.0
8333f96e-de39-484e-a0d5-a85ce4dd0b8a,2015-04-14,1.0
ae1bc0f2-afde-467d-8822-00bfc3f6f7fc,2015-04-14,1.0
ae1bc0f2-afde-467d-8822-00bfc3f6f7fc,2015-04-15,1.0
03fad20e-0e41-4a45-9ec7-205a28e96bcd,2015-04-14,1.0
adf5ffb7-77fd-423d-b933-3505c93e06d9,2015-04-08,2.0
adf5ffb7-77fd-423d-b933-3505c93e06d9,2015-04-07,2.0
adf5ffb7-77fd-423d-b933-3505c93e06d9,2015-04-10,2.0
adf5ffb7-77fd-423d-b933-3505c93e06d9,2015-04-16,2.0
adf5ffb7-77fd-423d-b933-3505c93e06d9,2015-04-14,2.0
adf5ffb7-77fd-423d-b933-3505c93e06d9,2015-04-15,2.0
adf5ffb7-77fd-423d-b933-3505c93e06d9,2015-04-13,1.0
adf5ffb7-77fd-423d-b933-3505c93e06d9,2015-04-17,2.0
1d923d2b-69d3-4095-b7bf-8fc9ecf2c65b,2015-04-10,3.0
1d923d2b-69d3-4095-b7bf-8fc9ecf2c65b,2015-04-08,1.0
1d923d2b-69d3-4095-b7bf-8fc9ecf2c65b,2015-04-09,2.0
1d923d2b-69d3-4095-b7bf-8fc9ecf2c65b,2015-04-13,4.0
1d923d2b-69d3-4095-b7bf-8fc9ecf2c65b,2015-04-14,3.0
1d923d2b-69d3-4095-b7bf-8fc9ecf2c65b,2015-04-15,2.0
1d923d2b-69d3-4095-b7bf-8fc9ecf2c65b,2015-04-12,3.0
1d923d2b-69d3-4095-b7bf-8fc9ecf2c65b,2015-04-16,2.0
1d923d2b-69d3-4095-b7bf-8fc9ecf2c65b,2015-04-17,2.0
a0d55631-bcb2-4bd7-8ad2-f981e2b081a7,2015-04-13,191.0
a0d55631-bcb2-4bd7-8ad2-f981e2b081a7,2015-04-10,132.0
a0d55631-bcb2-4bd7-8ad2-f981e2b081a7,2015-04-14,114.0
a0d55631-bcb2-4bd7-8ad2-f981e2b081a7,2015-04-11,130.0
a0d55631-bcb2-4bd7-8ad2-f981e2b081a7,2015-04-09,146.0
a0d55631-bcb2-4bd7-8ad2-f981e2b081a7,2015-04-16,281.0
a0d55631-bcb2-4bd7-8ad2-f981e2b081a7,2015-04-08,152.0
a0d55631-bcb2-4bd7-8ad2-f981e2b081a7,2015-04-12,165.0
a0d55631-bcb2-4bd7-8ad2-f981e2b081a7,2015-04-15,206.0
a0d55631-bcb2-4bd7-8ad2-f981e2b081a7,2015-04-07,38.0
a0d55631-bcb2-4bd7-8ad2-f981e2b081a7,2015-04-17,185.0
4e010939-f534-4d64-bea6-850fbd330110,2015-04-14,1.0
55866488-4390-4dae-9036-b5e297eba5be,2015-04-14,1.0
55866488-4390-4dae-9036-b5e297eba5be,2015-04-09,2.0
55866488-4390-4dae-9036-b5e297eba5be,2015-04-11,1.0
55866488-4390-4dae-9036-b5e297eba5be,2015-04-12,1.0
55866488-4390-4dae-9036-b5e297eba5be,2015-04-16,1.0
55a3eb12-f44b-421e-9907-7cdc0732e825,2015-04-08,4.0
55a3eb12-f44b-421e-9907-7cdc0732e825,2015-04-10,2.0
55a3eb12-f44b-421e-9907-7cdc0732e825,2015-04-14,2.0
55a3eb12-f44b-421e-9907-7cdc0732e825,2015-04-11,1.0
55a3eb12-f44b-421e-9907-7cdc0732e825,2015-04-15,2.0
273f40b5-fa73-4363-b614-bb4954396e03,2015-04-14,1.0
ee147257-5bd5-4345-ab1d-828f27c61599,2015-04-16,1.0
ee147257-5bd5-4345-ab1d-828f27c61599,2015-04-15,1.0
ee147257-5bd5-4345-ab1d-828f27c61599,2015-04-14,1.0
4a62c09b-edef-43fc-869b-17ff86a0dc39,2015-04-08,1.0
4a62c09b-edef-43fc-869b-17ff86a0dc39,2015-04-14,1.0
260dc798-348b-4478-b445-5f273afa553b,2015-04-07,5.0
260dc798-348b-4478-b445-5f273afa553b,2015-04-09,4.0
260dc798-348b-4478-b445-5f273afa553b,2015-04-08,4.0
260dc798-348b-4478-b445-5f273afa553b,2015-04-11,2.0
260dc798-348b-4478-b445-5f273afa553b,2015-04-10,7.0
260dc798-348b-4478-b445-5f273afa553b,2015-04-13,3.0
260dc798-348b-4478-b445-5f273afa553b,2015-04-12,7.0
260dc798-348b-4478-b445-5f273afa553b,2015-04-16,1.0
260dc798-348b-4478-b445-5f273afa553b,2015-04-15,4.0
260dc798-348b-4478-b445-5f273afa553b,2015-04-14,4.0
260dc798-348b-4478-b445-5f273afa553b,2015-04-17,1.0
b40ba0c2-8ea4-45ca-af95-10cf06eb20b8,2015-04-08,3.0
b40ba0c2-8ea4-45ca-af95-10cf06eb20b8,2015-04-09,1.0
b40ba0c2-8ea4-45ca-af95-10cf06eb20b8,2015-04-11,1.0
b40ba0c2-8ea4-45ca-af95-10cf06eb20b8,2015-04-13,3.0
b40ba0c2-8ea4-45ca-af95-10cf06eb20b8,2015-04-12,2.0
b40ba0c2-8ea4-45ca-af95-10cf06eb20b8,2015-04-10,3.0
b40ba0c2-8ea4-45ca-af95-10cf06eb20b8,2015-04-14,3.0
b40ba0c2-8ea4-45ca-af95-10cf06eb20b8,2015-04-15,8.0
b40ba0c2-8ea4-45ca-af95-10cf06eb20b8,2015-04-16,6.0
b40ba0c2-8ea4-45ca-af95-10cf06eb20b8,2015-04-17,6.0
90ed5c99-0209-455a-ac3b-aad5372ce255,2015-04-13,1.0
90ed5c99-0209-455a-ac3b-aad5372ce255,2015-04-14,1.0
90ed5c99-0209-455a-ac3b-aad5372ce255,2015-04-16,1.0
90ed5c99-0209-455a-ac3b-aad5372ce255,2015-04-11,1.0
4052d5f4-246b-4afa-98b7-ac2f4c8b7ba3,2015-04-12,1.0
4052d5f4-246b-4afa-98b7-ac2f4c8b7ba3,2015-04-14,2.0
4052d5f4-246b-4afa-98b7-ac2f4c8b7ba3,2015-04-17,1.0
4052d5f4-246b-4afa-98b7-ac2f4c8b7ba3,2015-04-15,1.0
5140d1d1-2a19-4062-b219-b2938b8fdcc7,2015-04-07,1.0
5140d1d1-2a19-4062-b219-b2938b8fdcc7,2015-04-08,3.0
5140d1d1-2a19-4062-b219-b2938b8fdcc7,2015-04-10,6.0
5140d1d1-2a19-4062-b219-b2938b8fdcc7,2015-04-09,3.0
5140d1d1-2a19-4062-b219-b2938b8fdcc7,2015-04-11,5.0
5140d1d1-2a19-4062-b219-b2938b8fdcc7,2015-04-12,8.0
5140d1d1-2a19-4062-b219-b2938b8fdcc7,2015-04-14,6.0
5140d1d1-2a19-4062-b219-b2938b8fdcc7,2015-04-13,5.0
5140d1d1-2a19-4062-b219-b2938b8fdcc7,2015-04-15,10.0
5140d1d1-2a19-4062-b219-b2938b8fdcc7,2015-04-16,11.0
5140d1d1-2a19-4062-b219-b2938b8fdcc7,2015-04-17,1.0
ab9ec6e7-1011-430b-8be5-cb29cee92064,2015-04-15,1.0
ab9ec6e7-1011-430b-8be5-cb29cee92064,2015-04-11,1.0
ab9ec6e7-1011-430b-8be5-cb29cee92064,2015-04-13,3.0
ab9ec6e7-1011-430b-8be5-cb29cee92064,2015-04-14,2.0
ab9ec6e7-1011-430b-8be5-cb29cee92064,2015-04-08,2.0
69323e0c-035a-44b0-b192-b85ee5a1ccb4,2015-04-14,1.0
69323e0c-035a-44b0-b192-b85ee5a1ccb4,2015-04-13,2.0
7e6aa837-ac7c-4dfc-94da-525c5e6b7890,2015-04-14,2.0
7e6aa837-ac7c-4dfc-94da-525c5e6b7890,2015-04-16,1.0
1aaf54b6-a0a7-4a38-9e77-9306f7590fe9,2015-04-14,1.0
1aaf54b6-a0a7-4a38-9e77-9306f7590fe9,2015-04-16,2.0
1aaf54b6-a0a7-4a38-9e77-9306f7590fe9,2015-04-12,1.0
5438b627-798c-44c6-a25d-99baa83aba4b,2015-04-07,1.0
5438b627-798c-44c6-a25d-99baa83aba4b,2015-04-08,1.0
5438b627-798c-44c6-a25d-99baa83aba4b,2015-04-10,2.0
5438b627-798c-44c6-a25d-99baa83aba4b,2015-04-11,2.0
5438b627-798c-44c6-a25d-99baa83aba4b,2015-04-12,2.0
5438b627-798c-44c6-a25d-99baa83aba4b,2015-04-14,1.0
5438b627-798c-44c6-a25d-99baa83aba4b,2015-04-15,3.0
5438b627-798c-44c6-a25d-99baa83aba4b,2015-04-13,2.0
5438b627-798c-44c6-a25d-99baa83aba4b,2015-04-16,1.0
97577148-585a-4d39-8ff5-31792491343b,2015-04-14,3.0
97577148-585a-4d39-8ff5-31792491343b,2015-04-16,1.0
97577148-585a-4d39-8ff5-31792491343b,2015-04-15,2.0
97577148-585a-4d39-8ff5-31792491343b,2015-04-17,1.0
4b80d1ca-0b84-4811-9a23-eaa1eccbe920,2015-04-14,1.0
4b80d1ca-0b84-4811-9a23-eaa1eccbe920,2015-04-16,1.0
4b80d1ca-0b84-4811-9a23-eaa1eccbe920,2015-04-10,1.0
4b80d1ca-0b84-4811-9a23-eaa1eccbe920,2015-04-09,1.0
4b80d1ca-0b84-4811-9a23-eaa1eccbe920,2015-04-12,1.0
5920dc92-9312-4ce9-9b56-65fb93155247,2015-04-13,15.0
5920dc92-9312-4ce9-9b56-65fb93155247,2015-04-10,18.0
5920dc92-9312-4ce9-9b56-65fb93155247,2015-04-15,11.0
5920dc92-9312-4ce9-9b56-65fb93155247,2015-04-11,16.0
5920dc92-9312-4ce9-9b56-65fb93155247,2015-04-14,11.0
5920dc92-9312-4ce9-9b56-65fb93155247,2015-04-17,2.0
5920dc92-9312-4ce9-9b56-65fb93155247,2015-04-09,9.0
5920dc92-9312-4ce9-9b56-65fb93155247,2015-04-07,10.0
5920dc92-9312-4ce9-9b56-65fb93155247,2015-04-08,18.0
5920dc92-9312-4ce9-9b56-65fb93155247,2015-04-16,19.0
5920dc92-9312-4ce9-9b56-65fb93155247,2015-04-12,15.0
1bab6bf6-f730-4af3-9fab-e598abb174d2,2015-04-09,1.0
1bab6bf6-f730-4af3-9fab-e598abb174d2,2015-04-10,2.0
1bab6bf6-f730-4af3-9fab-e598abb174d2,2015-04-12,1.0
1bab6bf6-f730-4af3-9fab-e598abb174d2,2015-04-13,2.0
1bab6bf6-f730-4af3-9fab-e598abb174d2,2015-04-15,1.0
1bab6bf6-f730-4af3-9fab-e598abb174d2,2015-04-14,3.0
1bab6bf6-f730-4af3-9fab-e598abb174d2,2015-04-17,1.0
ccec015d-928f-4e46-aacf-91b63120e552,2015-04-10,1.0
ccec015d-928f-4e46-aacf-91b63120e552,2015-04-11,2.0
ccec015d-928f-4e46-aacf-91b63120e552,2015-04-07,1.0
ccec015d-928f-4e46-aacf-91b63120e552,2015-04-12,2.0
ccec015d-928f-4e46-aacf-91b63120e552,2015-04-08,1.0
ccec015d-928f-4e46-aacf-91b63120e552,2015-04-09,2.0
ccec015d-928f-4e46-aacf-91b63120e552,2015-04-15,2.0
ccec015d-928f-4e46-aacf-91b63120e552,2015-04-13,2.0
ccec015d-928f-4e46-aacf-91b63120e552,2015-04-16,1.0
ccec015d-928f-4e46-aacf-91b63120e552,2015-04-14,2.0
f1c6e2ee-c96d-415b-88cd-350d9505fa4c,2015-04-08,2.0
f1c6e2ee-c96d-415b-88cd-350d9505fa4c,2015-04-07,5.0
f1c6e2ee-c96d-415b-88cd-350d9505fa4c,2015-04-10,4.0
f1c6e2ee-c96d-415b-88cd-350d9505fa4c,2015-04-11,3.0
f1c6e2ee-c96d-415b-88cd-350d9505fa4c,2015-04-09,8.0
f1c6e2ee-c96d-415b-88cd-350d9505fa4c,2015-04-15,4.0
f1c6e2ee-c96d-415b-88cd-350d9505fa4c,2015-04-13,6.0
f1c6e2ee-c96d-415b-88cd-350d9505fa4c,2015-04-14,4.0
f1c6e2ee-c96d-415b-88cd-350d9505fa4c,2015-04-12,5.0
f1c6e2ee-c96d-415b-88cd-350d9505fa4c,2015-04-16,11.0
f1c6e2ee-c96d-415b-88cd-350d9505fa4c,2015-04-17,7.0
fa1d1fe6-8745-4aaf-80df-5fcb3c479b52,2015-04-09,29.0
fa1d1fe6-8745-4aaf-80df-5fcb3c479b52,2015-04-10,18.0
fa1d1fe6-8745-4aaf-80df-5fcb3c479b52,2015-04-11,11.0
fa1d1fe6-8745-4aaf-80df-5fcb3c479b52,2015-04-12,13.0
fa1d1fe6-8745-4aaf-80df-5fcb3c479b52,2015-04-15,5.0
fa1d1fe6-8745-4aaf-80df-5fcb3c479b52,2015-04-13,12.0
fa1d1fe6-8745-4aaf-80df-5fcb3c479b52,2015-04-14,6.0
fa1d1fe6-8745-4aaf-80df-5fcb3c479b52,2015-04-17,6.0
fa1d1fe6-8745-4aaf-80df-5fcb3c479b52,2015-04-16,7.0
87dede50-097f-4064-9a9b-bd4851363971,2015-04-07,6.0
87dede50-097f-4064-9a9b-bd4851363971,2015-04-08,14.0
87dede50-097f-4064-9a9b-bd4851363971,2015-04-09,20.0
87dede50-097f-4064-9a9b-bd4851363971,2015-04-10,14.0
87dede50-097f-4064-9a9b-bd4851363971,2015-04-11,11.0
87dede50-097f-4064-9a9b-bd4851363971,2015-04-12,14.0
87dede50-097f-4064-9a9b-bd4851363971,2015-04-13,16.0
87dede50-097f-4064-9a9b-bd4851363971,2015-04-14,17.0
87dede50-097f-4064-9a9b-bd4851363971,2015-04-15,25.0
87dede50-097f-4064-9a9b-bd4851363971,2015-04-17,18.0
87dede50-097f-4064-9a9b-bd4851363971,2015-04-16,34.0
38e06968-af06-44ea-9eba-a1a275832767,2015-04-07,23.0
38e06968-af06-44ea-9eba-a1a275832767,2015-04-08,79.0
38e06968-af06-44ea-9eba-a1a275832767,2015-04-09,76.0
38e06968-af06-44ea-9eba-a1a275832767,2015-04-10,70.0
38e06968-af06-44ea-9eba-a1a275832767,2015-04-11,61.0
38e06968-af06-44ea-9eba-a1a275832767,2015-04-12,88.0
38e06968-af06-44ea-9eba-a1a275832767,2015-04-13,84.0
38e06968-af06-44ea-9eba-a1a275832767,2015-04-14,60.0
38e06968-af06-44ea-9eba-a1a275832767,2015-04-15,155.0
38e06968-af06-44ea-9eba-a1a275832767,2015-04-16,213.0
38e06968-af06-44ea-9eba-a1a275832767,2015-04-17,139.0
2287f555-9ee5-44d8-9e5b-d67f784576bf,2015-04-09,1.0
2287f555-9ee5-44d8-9e5b-d67f784576bf,2015-04-08,1.0
2287f555-9ee5-44d8-9e5b-d67f784576bf,2015-04-12,1.0
2287f555-9ee5-44d8-9e5b-d67f784576bf,2015-04-15,1.0
2287f555-9ee5-44d8-9e5b-d67f784576bf,2015-04-13,2.0
2287f555-9ee5-44d8-9e5b-d67f784576bf,2015-04-14,1.0
347beca6-2ec7-4bc3-a688-f6545f3b8acc,2015-04-14,1.0
5ba0505e-e2b4-4f09-9796-a3750282f093,2015-04-08,6.0
5ba0505e-e2b4-4f09-9796-a3750282f093,2015-04-07,2.0
5ba0505e-e2b4-4f09-9796-a3750282f093,2015-04-17,8.0
5ba0505e-e2b4-4f09-9796-a3750282f093,2015-04-11,1.0
5ba0505e-e2b4-4f09-9796-a3750282f093,2015-04-16,7.0
5ba0505e-e2b4-4f09-9796-a3750282f093,2015-04-15,4.0
5ba0505e-e2b4-4f09-9796-a3750282f093,2015-04-12,2.0
5ba0505e-e2b4-4f09-9796-a3750282f093,2015-04-10,2.0
5ba0505e-e2b4-4f09-9796-a3750282f093,2015-04-14,2.0
a81487a1-140d-4ba0-884f-e697bf082805,2015-04-08,1.0
a81487a1-140d-4ba0-884f-e697bf082805,2015-04-16,1.0
a81487a1-140d-4ba0-884f-e697bf082805,2015-04-17,1.0
a81487a1-140d-4ba0-884f-e697bf082805,2015-04-13,1.0
a81487a1-140d-4ba0-884f-e697bf082805,2015-04-12,1.0
a81487a1-140d-4ba0-884f-e697bf082805,2015-04-09,1.0
a81487a1-140d-4ba0-884f-e697bf082805,2015-04-10,1.0
a81487a1-140d-4ba0-884f-e697bf082805,2015-04-11,2.0
a81487a1-140d-4ba0-884f-e697bf082805,2015-04-14,1.0
a67d3112-d31f-4087-9e0e-a4fdeecf5fab,2015-04-13,4.0
a67d3112-d31f-4087-9e0e-a4fdeecf5fab,2015-04-15,7.0
a67d3112-d31f-4087-9e0e-a4fdeecf5fab,2015-04-08,1.0
a67d3112-d31f-4087-9e0e-a4fdeecf5fab,2015-04-09,3.0
a67d3112-d31f-4087-9e0e-a4fdeecf5fab,2015-04-11,2.0
